,userName,content,at,sentiment,summary
0,Cassie Moore,"""No words""",2022-11-29 21:55:37,neutral,NA
1,Kaleb Plummer,"""Great fun app so far!""",2022-11-29 21:55:04,positive,Great app
2,Rylee Maher,"""The app would get a higher rating but I literally can't sign in. The second I open the app and try to tap either the sign in or sign up or literally anything the screen completely freezes and I can't do anything. I've uninstalled the app, restarted my phone, and nothing is fixing it. I don't know if its just my phone or if this is a new problem but that's my experience.""",2022-11-29 21:54:48,bugCritical,Sign-in issue
3,Kittykatelyn Romilly,"""I WISH I COULD GIVE THIS A 100 PERCENT RATING I LOVE THIS!! Ã°ÂÂÂ Ã°ÂÂÂ""",2022-11-29 21:54:35,positive,100 percent rating
4,Loveness Malenga,"""Pictures and record""",2022-11-29 21:54:21,neutral,NA
5,Melvin Crawford,"""I love this amazing app""",2022-11-29 21:52:53,positive,Amazing app
6,Muhammad Rehan,"""Mohammed Rehan""",2022-11-29 21:52:43,neutral,NA
7,Brian Nowak,"""Love being on Tik Tok.""",2022-11-29 21:52:28,positive,Love Tik Tok
8,JÃÂºlia Fideles,"""Kwai pelo menos da dinheiro""",2022-11-29 21:51:41,neutral,NA
9,Rocio Salas,"""Post to view is such a step backwards for the platform -- why punish both your casual users and your content creators?""",2022-11-29 21:51:02,negetive,Step backwards
10,Lisanna Valvora,"""I got banned for literally no reason. You guys need to stop banning people! I didn't do anything""",2022-11-29 21:50:40,bugCritical,Unjust ban
11,hassan ali fawaz,"""Love""",2022-11-29 21:50:31,positive,Love
12,Beautiful Ayaan,"""Good""",2022-11-29 21:48:49,positive,Good
13,Thomas J Herrmann,"""I have fun on here.""",2022-11-29 21:48:34,positive,Fun
14,Joey Legroulx,"""I don't like when it takes so long to load and or only load one video but other then that I love the app""",2022-11-29 21:47:23,negetive,Long load time
15,Me You,"""I love tik tok but this black out thing is crazy and can even kill don't try the black out""",2022-11-29 21:47:23,negetive,Black out issue
16,Tik Toker,"""Very very nice app but my video not going for you""",2022-11-29 21:47:14,bugReport,Video not uploading
17,Sandy Mark,"""pee b-4 watching!!! Luv ur site!!! GO... U. S. A.!!!""",2022-11-29 21:47:00,spam,NA
18,M Mustaqeem,"""Hi dear tik tik is very good app Android mobile and tablet laptop and computer using best app thanks for tik tik team""",2022-11-29 21:46:39,positive,Great app
19,christopher martins,"""Perfect Ã°ÂÂ¥Â°""",2022-11-29 21:45:45,positive,Perfect
20,khadijat Usman Auta,"""Awesome""",2022-11-29 21:44:41,positive,Awesome
21,zeyda hawkins,"""my app won't stop crashing its horrible I'm making a video and ut crashes and deletes my progress. get your app fixed!""",2022-11-29 21:44:13,bugCritical,App crash
22,Jay Dubose,"""Type shiiÃ°ÂÂ«Â""",2022-11-29 21:43:46,neutral,NA
23,Shadan khan,"""Good""",2022-11-29 21:42:57,positive,Good work
24,Awais Pansota,"""Gud wark""",2022-11-29 21:39:21,neutral,NA
